"filename", "language", "Kotlinscript", "Markdown", "Properties", "Batch", "JSON", "XML", "Kotlin", "comment", "blank", "total"
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_dash.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_dowload.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 4, 8
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_drop_down.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_facebook.xml", "XML", 0, 0, 0, 0, 0, 24, 0, 0, 1, 25
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_google.xml", "XML", 0, 0, 0, 0, 0, 22, 0, 0, 1, 23
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_gridview.xml", "XML", 0, 0, 0, 0, 0, 21, 0, 3, 8, 32
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icon_profile.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 3, 6
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\icons_home.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\logout.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\orange_button_background.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 9
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\pause.xml", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\phone_call_telephone_svgrepo_com.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 6, 12
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\play_circle.xml", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 1, 14
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\progress_bar_rating.xml", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 0, 15
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\replay_10second.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\second.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\send.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\settings.xml", "XML", 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\small_screen.xml", "XML", 0, 0, 0, 0, 0, 22, 0, 0, 1, 23
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\drawable\subtitle_square.xml", "XML", 0, 0, 0, 0, 0, 18, 0, 0, 1, 19
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_intro.xml", "XML", 0, 0, 0, 0, 0, 85, 0, 0, 17, 102
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_login.xml", "XML", 0, 0, 0, 0, 0, 144, 0, 3, 13, 160
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_main.xml", "XML", 0, 0, 0, 0, 0, 29, 0, 0, 3, 32
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_movie_detail.xml", "XML", 0, 0, 0, 0, 0, 265, 0, 0, 39, 304
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_movie_list.xml", "XML", 0, 0, 0, 0, 0, 44, 0, 2, 6, 52
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_otp.xml", "XML", 0, 0, 0, 0, 0, 88, 0, 0, 7, 95
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_package_payment.xml", "XML", 0, 0, 0, 0, 0, 60, 0, 0, 6, 66
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_person.xml", "XML", 0, 0, 0, 0, 0, 103, 0, 5, 13, 121
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_phonenumber.xml", "XML", 0, 0, 0, 0, 0, 66, 0, 0, 2, 68
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_search.xml", "XML", 0, 0, 0, 0, 0, 72, 0, 3, 9, 84
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_signup.xml", "XML", 0, 0, 0, 0, 0, 133, 0, 0, 11, 144
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_watch_movie.xml", "XML", 0, 0, 0, 0, 0, 269, 0, 0, 37, 306
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\activity_watch_movie_dowload.xml", "XML", 0, 0, 0, 0, 0, 76, 0, 0, 8, 84
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\custom_exo_player_controls.xml", "XML", 0, 0, 0, 0, 0, 106, 0, 0, 13, 119
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_category.xml", "XML", 0, 0, 0, 0, 0, 62, 0, 0, 9, 71
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_comment.xml", "XML", 0, 0, 0, 0, 0, 48, 0, 0, 9, 57
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_dowload.xml", "XML", 0, 0, 0, 0, 0, 23, 0, 0, 1, 24
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_home.xml", "XML", 0, 0, 0, 0, 0, 94, 0, 5, 14, 113
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_payment.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 2, 12
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_profile.xml", "XML", 0, 0, 0, 0, 0, 112, 0, 4, 17, 133
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_rating.xml", "XML", 0, 0, 0, 0, 0, 110, 0, 5, 19, 134
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_result.xml", "XML", 0, 0, 0, 0, 0, 15, 0, 0, 2, 17
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_select_package.xml", "XML", 0, 0, 0, 0, 0, 7, 0, 0, 0, 7
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\fragment_tablayout_movie.xml", "XML", 0, 0, 0, 0, 0, 149, 0, 0, 23, 172
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_banner.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 0, 1, 11
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_comment.xml", "XML", 0, 0, 0, 0, 0, 117, 0, 0, 17, 134
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_downloaded_video.xml", "XML", 0, 0, 0, 0, 0, 44, 0, 0, 8, 52
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_episode.xml", "XML", 0, 0, 0, 0, 0, 11, 0, 0, 1, 12
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_movie.xml", "XML", 0, 0, 0, 0, 0, 72, 0, 7, 11, 90
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_movie_search.xml", "XML", 0, 0, 0, 0, 0, 90, 0, 0, 11, 101
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_package.xml", "XML", 0, 0, 0, 0, 0, 54, 0, 0, 9, 63
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_person.xml", "XML", 0, 0, 0, 0, 0, 31, 0, 0, 4, 35
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\item_reply.xml", "XML", 0, 0, 0, 0, 0, 79, 0, 0, 13, 92
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\spinner_dropdown_item.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\layout\spinner_item.xml", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 1, 10
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\menu\bottom_menu.xml", "XML", 0, 0, 0, 0, 0, 19, 0, 0, 1, 20
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\mipmap-anydpi-v26\ic_launcher.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\mipmap-anydpi-v26\ic_launcher_round.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 0, 5
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\values\arrays.xml", "XML", 0, 0, 0, 0, 0, 38, 0, 0, 4, 42
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 22, 0, 0, 1, 23
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\values\ic_launcher_background.xml", "XML", 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 10, 0, 1, 1, 12
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\values\themes.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 0, 3, 8
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\xml\backup_rules.xml", "XML", 0, 0, 0, 0, 0, 3, 0, 10, 0, 13
"c:\Users\Hi\Coder\MovieApp\app\src\main\res\xml\data_extraction_rules.xml", "XML", 0, 0, 0, 0, 0, 5, 0, 14, 0, 19
"c:\Users\Hi\Coder\MovieApp\app\src\test\java\com\example\movieapp\ExampleUnitTest.kt", "Kotlin", 0, 0, 0, 0, 0, 0, 9, 5, 3, 17
"c:\Users\Hi\Coder\MovieApp\build.gradle.kts", "Kotlinscript", 4, 0, 0, 0, 0, 0, 0, 1, 1, 6
"c:\Users\Hi\Coder\MovieApp\gradle.properties", "Properties", 0, 0, 4, 0, 0, 0, 0, 19, 0, 23
"c:\Users\Hi\Coder\MovieApp\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 5, 0, 0, 0, 0, 1, 1, 7
"c:\Users\Hi\Coder\MovieApp\gradlew.bat", "Batch", 0, 0, 0, 39, 0, 0, 0, 29, 22, 90
"c:\Users\Hi\Coder\MovieApp\settings.gradle.kts", "Kotlinscript", 22, 0, 0, 0, 0, 0, 0, 0, 2, 24
"Total", "-", 173, 1, 9, 39, 47, 3516, 4001, 300, 1123, 9209
